RecordID,Acerage,List_Price,Address,Cities_Towns,County,Style,Full_Baths,Half_Baths,Bedrooms,Rooms,Basmnt_Desc,Exterior,Cool_System,Heat_System,Water,Sewer,FHA_55_,Land_Assessment,Building_Assessment,Tax_Amount
58,52.70,39900,10 CRANBERRY LED,Andover Twp.,Sussex,Contemporary,4,1,5,16,1,1,1,1,0,0,0,12200,0,438
59,2.11,114900,272 ROUTE 206,Branchville Boro,Sussex,Ranch,1,0,2,6,0,1,0,0,0,1,0,132200,117300,5336
60,0.15,119900,1 SADDLE LN,Byram Twp.,Sussex,Raised Ranch,2,0,3,7,1,0,0,1,1,1,0,55900,56300,3977
61,0.00,124900,11 PATHFINDER TRL,Byram Twp.,Sussex,One Floor Unit,1,0,1,4,0,1,1,1,1,0,0,25000,88600,3956
62,0.48,160800,20 TAMARACK RD,Byram Twp.,Sussex,Ranch,2,0,3,6,0,0,0,1,0,0,0,86900,114800,7150
63,0.19,164900,4 MUCHIVO TRL,Byram Twp.,Sussex,Fixer Upper,1,0,2,5,1,1,1,0,0,0,0,71800,53600,4445
64,0.50,164900,2 N Shore Trl East,Byram Twp.,Sussex,Bi-Level,1,1,3,8,0,1,0,0,0,0,0,87200,135200,7746
65,0.15,175000,16 LAKE DR,Byram Twp.,Sussex,Raised Ranch,1,0,1,4,1,1,1,1,0,0,0,62800,64700,4440
66,0.07,184900,24 WOODS EDGE RD,Byram Twp.,Sussex,Bungalow,1,0,2,5,1,0,0,1,0,0,0,60400,45100,3739
67,0.22,185000,65 LAKE DR,Byram Twp.,Sussex,Ranch,1,1,3,6,1,1,0,1,0,0,0,96000,80100,6242
68,0.14,202000,31 MT HEIGHTS DR,Byram Twp.,Sussex,Colonial,2,1,3,8,1,0,0,0,0,0,0,83700,143600,8057
69,0.32,210000,19 ROSS RD,Byram Twp.,Sussex,Lakestyle,2,0,3,6,1,1,0,1,1,0,0,163800,29200,6722
70,0.23,210000,20 HEMLOCK RD,Byram Twp.,Sussex,Raised Ranch,2,0,3,8,1,0,1,1,0,0,0,92000,99600,6792
71,0.99,225000,13 BROAD AVE,Byram Twp.,Sussex,Split Level,2,0,3,7,1,1,1,1,1,0,0,109700,137500,8763
72,1.03,229900,6 ASH ST,Byram Twp.,Sussex,Ranch,1,0,2,6,1,0,1,0,0,0,0,115200,63100,6210
73,0.12,234900,50 BROOKWOOD DR,Byram Twp.,Sussex,Cape Cod,1,0,4,7,1,0,1,1,1,0,0,91000,105400,6962
74,0.23,239000,34 WINDING WAY,Byram Twp.,Sussex,Cape Cod,1,0,3,7,1,1,1,0,1,0,0,102000,79500,6434
75,0.46,239500,129 LACKAWANNA D,Byram Twp.,Sussex,Bi-Level,1,1,3,8,0,1,1,1,1,0,0,111000,99000,7444
76,0.24,247500,71 GLENSIDE TRL,Byram Twp.,Sussex,Colonial,2,0,3,7,1,1,1,1,1,0,0,92700,172000,9383
77,0.34,249000,105 FOREST LAKE DR,Byram Twp.,Sussex,Extra House on Lot,2,0,5,10,1,0,0,0,1,1,0,86200,113800,7090
78,0.26,254900,57 ASH ST,Byram Twp.,Sussex,Raised Ranch,2,0,4,8,1,0,0,1,0,0,0,117000,135500,8951
79,0.12,255000,2 GREYWOOD LN,Byram Twp.,Sussex,Raised Ranch,1,1,3,7,0,1,0,0,1,0,0,81900,119600,7143
80,0.31,255000,132 GLENSIDE TRL,Byram Twp.,Sussex,Split Level,2,0,3,6,0,0,0,1,1,0,0,106800,100600,7352
81,0.36,258500,54 Sleepy Hollow Rd,Byram Twp.,Sussex,Ranch,1,1,3,7,1,1,1,0,1,0,0,83300,130200,7568
82,0.30,259000,136 GLENSIDE TRL,Byram Twp.,Sussex,Lakestyle,2,0,3,8,1,1,1,1,0,0,0,106300,124700,8188
83,0.30,259900,61 Ash St,Byram Twp.,Sussex,Bi-Level,2,1,3,8,0,0,0,0,1,0,0,95600,153000,8812
84,0.00,259900,15 N CRESCENT DR,Byram Twp.,Sussex,Contemporary,2,0,3,7,1,1,0,0,1,0,0,97200,117600,7614
85,0.91,264900,77 BIRCH PKY,Byram Twp.,Sussex,Bi-Level,2,0,4,11,0,1,1,0,1,0,0,124500,138300,9316
86,0.62,265000,39 SHERWOOD FORE,Byram Twp.,Sussex,Bi-Level,1,1,3,10,0,1,1,0,1,0,0,104500,126500,8188
87,0.30,269000,52 SLEEPY HOLLOW,Byram Twp.,Sussex,Lakestyle,2,1,3,7,1,0,0,1,1,0,0,165700,103500,9543
88,0.31,269000,192 TOMAHAWK TRL,Byram Twp.,Sussex,Custom Home,2,0,3,8,1,1,0,1,1,0,0,95900,128800,7965
89,0.31,275000,6 LAKE VIEW DR,Byram Twp.,Sussex,Ranch,1,1,3,7,1,1,1,0,1,0,0,95900,142200,8440
90,0.23,279000,520 STANHOPE RD,Byram Twp.,Sussex,Bi-Level,2,1,3,7,0,1,1,0,1,0,0,79100,122400,7143
91,0.27,279795,148 GLENSIDE TRL,Byram Twp.,Sussex,Bi-Level,2,0,3,7,0,0,0,0,1,0,0,95000,139800,8323
92,0.37,285000,746 W SHORE TRL,Byram Twp.,Sussex,Ranch,1,0,2,6,1,0,1,0,1,0,0,81800,91400,6139
93,0.28,285000,51 RIVER RD,Byram Twp.,Sussex,Custom Home,2,0,3,7,1,1,0,1,0,0,0,94200,97100,6781
94,0.26,289000,35 BROOKWOOD DR,Byram Twp.,Sussex,Bi-Level,2,1,3,9,0,0,0,0,1,0,0,117000,148100,9398
95,0.23,289900,132 LACKAWANNA D,Byram Twp.,Sussex,Bi-Level,1,1,3,9,0,1,0,0,1,0,0,102000,161800,9351
96,0.31,294000,3 Hemlock Road,Byram Twp.,Sussex,Raised Ranch,1,1,3,10,0,0,1,1,1,0,0,96100,128900,7976
97,0.17,299000,1 ROBERT ST,Byram Twp.,Sussex,Ranch,2,0,2,7,1,1,1,1,1,0,0,120700,89700,7458
98,0.21,300000,12 DEER RUN,Byram Twp.,Sussex,Colonial,2,0,3,8,1,1,0,0,0,0,0,84600,145500,8157
99,0.46,305000,4 SLEEPY LAGOON T,Byram Twp.,Sussex,Cape Cod,2,0,4,7,0,0,0,0,1,0,0,126300,128100,9018
100,0.61,309999,13 LOCKWOOD AVE,Byram Twp.,Sussex,Expanded Ranch,2,0,3,11,1,1,0,1,1,0,0,104200,162400,9450
101,0.30,324999,49 OLD STAGECOAC,Byram Twp.,Sussex,Raised Ranch,2,0,3,6,0,1,1,0,1,0,0,118100,107000,7979
102,0.46,327500,83 LAKE DR,Byram Twp.,Sussex,Bi-Level,2,0,4,9,0,1,1,0,1,1,0,111000,156600,9486
103,0.85,329900,42 RIVER RD,Byram Twp.,Sussex,Contemporary,2,0,4,10,0,1,1,0,1,0,0,110700,184200,10454
104,0.27,339000,15 ROSS RD,Byram Twp.,Sussex,Cape Cod,1,0,3,8,0,1,0,1,1,0,0,152000,75700,8071
105,0.50,339000,755 W SHORE TRL,Byram Twp.,Sussex,Raised Ranch,1,1,3,9,0,1,1,0,0,0,0,112000,115900,8079
106,0.83,339900,71 BIRCH PKY,Byram Twp.,Sussex,Detached,3,0,4,10,1,1,1,1,1,0,0,104900,146100,8897
107,0.51,339900,107 LAKE DR,Byram Twp.,Sussex,Custom Home,2,1,4,9,1,1,1,1,0,0,0,117600,212400,11698
108,0.16,350000,16 COLBY DR,Byram Twp.,Sussex,A-Frame,2,0,3,8,1,1,0,0,1,0,0,152500,127300,9918
109,0.22,353900,4 METEOR TRL,Byram Twp.,Sussex,Split Level,2,1,3,7,1,0,1,0,1,0,0,154400,128900,10042
110,0.46,357900,50 LEE HILL RD,Byram Twp.,Sussex,Colonial,2,1,4,8,1,1,1,0,0,0,0,111000,185100,10496
111,0.22,360000,11 Briar Ln,Byram Twp.,Sussex,Lakestyle,2,1,3,8,1,0,0,0,0,0,0,80500,182800,9333
112,0.96,364900,104 LYNN DR,Byram Twp.,Sussex,Custom Home,2,1,3,9,1,1,1,0,0,0,0,89400,173000,9302
113,1.44,364900,82 Lake Dr.,Byram Twp.,Sussex,Colonial,2,1,4,9,1,0,1,0,0,0,0,104900,219300,11492
114,0.49,369000,28 OLD STAGECOAC,Byram Twp.,Sussex,Colonial,2,1,4,11,1,0,1,0,0,0,0,80700,212600,10397
115,0.50,369000,66 SLEEPY HOLLOW,Byram Twp.,Sussex,Colonial,2,1,4,11,1,1,1,1,0,0,0,114500,310700,15073
116,0.23,379000,13 SANDRA LN,Byram Twp.,Sussex,Raised Ranch,2,0,3,8,0,1,1,1,1,1,0,92700,176100,9528
117,0.41,389999,68 BROOKWOOD RD,Byram Twp.,Sussex,Bi-Level,2,0,4,11,0,0,1,0,1,0,0,98800,190600,10259
118,0.50,399999,2 SHORT HILL RD,Byram Twp.,Sussex,Colonial,2,2,4,9,1,0,1,1,1,0,0,100000,220900,11375
119,2.00,400000,8 JOAN DR,Byram Twp.,Sussex,Colonial,2,1,4,9,1,1,1,0,1,0,0,90000,184900,9745
120,0.15,419000,35 FIELDSTONE TRL,Byram Twp.,Sussex,Colonial,2,0,2,4,0,1,0,1,0,1,0,165000,149100,10634
121,0.91,448000,6 FIELDSTONE TRL,Byram Twp.,Sussex,Colonial,2,1,4,9,1,1,1,1,1,0,0,96600,192100,9984
122,1.15,459900,384 AMITY RD,Byram Twp.,Sussex,Colonial,2,1,4,10,1,1,0,1,0,0,0,117200,239800,12655
123,1.16,459999,13 MANOR DR,Byram Twp.,Sussex,Colonial,2,1,4,9,1,0,1,1,1,0,0,117400,247200,12925
124,0.63,485000,96 BIRCH PKY,Byram Twp.,Sussex,Custom Home,3,0,4,11,0,1,1,1,1,0,0,79800,235100,11163
125,2.11,514900,35 MANOR DR,Byram Twp.,Sussex,Colonial,2,2,4,9,1,1,1,1,0,0,0,127700,282800,14552
126,0.78,574900,8 WINDSOR LN,Byram Twp.,Sussex,Contemporary,2,1,3,11,1,0,0,1,0,0,0,396800,140400,19043
127,2.06,585000,253 LACKAWANNA D,Byram Twp.,Sussex,Colonial,3,1,4,10,1,1,1,1,1,0,0,131000,288000,14853
128,3.56,799000,102 STONEHEDGE LN,Byram Twp.,Sussex,Colonial,2,1,4,10,1,0,1,1,0,0,0,153600,297800,16002
129,9.17,999500,2 SLEEPY LAGOON T,Byram Twp.,Sussex,Custom Home,3,0,4,9,1,1,1,0,0,0,0,107400,280400,13747
130,13.00,999900,183 FOREST LAKE DR,Byram Twp.,Sussex,Contemporary,4,1,4,8,1,1,1,1,0,0,0,182800,453500,22556
131,1.16,1195000,3 CUB LAKE RD,Byram Twp.,Sussex,Custom Home,5,1,5,14,1,0,1,0,0,0,0,502400,181200,23809
132,12.15,54900,13 WORTHINGTON R,Byram Twp.,Sussex,Custom Home,2,1,4,10,1,1,1,0,1,0,0,137800,248600,13743
133,7.17,110000,73 E SHORE CULVER,Byram Twp.,Sussex,Custom Home,3,2,4,15,1,1,1,0,0,0,0,309600,477000,27884
134,0.24,127000,78 E SHORE LK OWA,Frankford Twp.,Sussex,Colonial,1,0,3,7,0,1,0,1,0,0,0,77000,67800,3696
135,0.08,198100,5 CENTER ST,Frankford Twp.,Sussex,Cottage,1,0,3,5,0,1,1,0,0,0,0,56400,46800,2625
136,0.07,199000,94 UPPER NORTH SH,Frankford Twp.,Sussex,Cottage,1,0,2,5,0,1,0,0,1,0,0,70000,30200,2558
137,0.30,199900,38 DAVIS RD,Frankford Twp.,Sussex,Ranch,1,0,2,7,1,1,0,0,0,0,0,92300,67100,4069
138,0.55,200000,119 RIDGE RD,Frankford Twp.,Sussex,Ranch,1,0,2,5,0,1,1,0,0,0,0,116800,46200,4161
139,1.31,225000,3 3rd st,Frankford Twp.,Sussex,Bi-Level,2,0,3,8,0,1,1,0,0,0,0,98100,139600,6047
140,0.73,229900,28A FOX HILL RD,Frankford Twp.,Sussex,Bi-Level,2,0,3,8,0,1,1,0,0,0,0,87700,104300,4901
141,0.21,229900,42 STEHR ST,Frankford Twp.,Sussex,Cape Cod,1,0,3,7,0,1,1,0,0,0,0,83300,61400,3694
142,0.46,242500,573 KEMAH LAKE RD,Frankford Twp.,Sussex,Ranch,1,0,1,4,1,1,0,1,1,0,0,80600,52000,3385
143,0.22,249823,53 BEEMER HILL RD,Frankford Twp.,Sussex,Ranch,1,0,3,6,1,1,1,1,0,0,0,69800,52200,3114
144,5.70,249900,167 MATTISON RESE,Frankford Twp.,Sussex,Ranch,2,0,3,8,1,1,1,0,0,0,0,114000,128400,6188
145,1.30,255000,52 DALRYMPLE RD,Frankford Twp.,Sussex,Colonial,3,0,3,9,1,1,0,0,0,0,0,103000,167200,6898
146,1.49,255000,124 WANTAGE AVE,Frankford Twp.,Sussex,Ranch,2,0,3,5,1,1,1,0,0,0,0,98800,110700,5348
147,6.62,265000,2 COUNTRY LN,Frankford Twp.,Sussex,Split Level,2,1,3,7,1,1,0,0,0,0,0,144700,150500,7536
148,1.00,269900,592 COUNTY ROUTE,Frankford Twp.,Sussex,Colonial,1,2,4,8,1,0,0,0,0,0,0,76700,128900,5248
149,2.68,279900,53 DAVIS RD,Frankford Twp.,Sussex,Ranch,2,1,4,9,1,0,1,1,0,0,0,89000,108800,5049
150,0.95,285000,230 PLAINS RD,Frankford Twp.,Sussex,Ranch,2,0,3,7,1,1,0,0,1,0,0,71800,106800,4543
151,1.31,299000,8 DALE RD,Frankford Twp.,Sussex,Cape Cod,2,0,3,10,1,0,0,1,0,0,0,98100,163600,6681
152,2.13,299900,117 WANTAGE AVE,Frankford Twp.,Sussex,Ranch,2,1,4,8,1,0,0,0,0,0,0,90400,153400,6224
153,0.79,299900,144 UPPER NORTH SH,Frankford Twp.,Sussex,Colonial,1,1,3,8,1,0,1,0,0,0,0,78800,118700,5042
154,3.05,305000,102 WANTAGE AVE,Frankford Twp.,Sussex,Colonial,2,1,4,8,1,1,1,0,0,0,0,98200,183800,7199
155,2.21,310000,113 UPPER NORTH SH,Frankford Twp.,Sussex,Bi-Level,3,0,3,10,1,1,0,0,1,0,0,107100,162700,6887
156,1.00,310000,61 COTTAGE AVE,Frankford Twp.,Sussex,Colonial,2,1,3,8,0,0,0,0,0,0,0,80800,173700,6497
157,8.75,312000,122 W OWASSA TNPK,Frankford Twp.,Sussex,Colonial,3,0,4,13,1,0,1,0,0,1,0,157500,268100,10865
158,0.19,314000,54 MYRTLE AVE,Frankford Twp.,Sussex,Ranch,1,0,3,7,1,1,1,1,1,0,0,174200,28100,5164
159,0.52,335000,62 UNION TPKE,Frankford Twp.,Sussex,Colonial,2,0,5,12,1,0,0,0,1,0,0,194500,79400,6992
160,0.46,339900,5 Summit DR,Frankford Twp.,Sussex,Lakestyle,1,0,1,4,0,0,0,1,0,0,0,235900,56100,7454
161,6.20,340000,76 KYMER RD,Frankford Twp.,Sussex,Split Level,2,1,3,7,1,1,0,0,0,0,0,112300,202300,8031
162,2.00,349900,49 MYRTLE AVE,Frankford Twp.,Sussex,Ranch,2,0,3,8,1,1,1,0,0,0,0,115000,141000,6535
163,1.09,350000,51 E SHORE CULVER,Frankford Twp.,Sussex,Ranch,2,0,3,8,1,1,1,0,0,0,0,95900,162100,6586
164,0,372521,6 DICKERSON RD,Frankford Twp.,Sussex,Ranch,2,0,4,11,1,1,1,1,0,0,0,94500,131400,5767
165,0.69,374500,161 EAST SHORE CUL,Frankford Twp.,Sussex,Colonial,2,0,3,8,1,1,1,0,0,0,0,122200,117700,6124
166,1.40,399999,5 JONATHAN DRIVE,Frankford Twp.,Sussex,Colonial,2,1,4,10,1,1,0,0,0,0,0,99000,204100,7738
167,0.41,405000,76 LAKEVIEW POINT,Frankford Twp.,Sussex,Expanded Ranch,2,0,3,7,1,1,1,1,0,0,0,108800,84700,4940
168,2.31,415000,44 NEWTON AVE,Frankford Twp.,Sussex,Colonial,3,0,4,10,1,1,1,1,1,0,0,143200,262800,10365
169,0.14,424900,154 PLAINS RD,Frankford Twp.,Sussex,Colonial,2,0,3,6,1,1,1,1,0,0,0,262600,65500,8376
170,5.08,427000,449 US HWY 206,Frankford Twp.,Sussex,Colonial,2,1,4,10,1,1,1,1,0,0,0,125500,200200,8315
171,8.27,434900,172 E SHORE CULVER,Frankford Twp.,Sussex,Ranch,2,1,2,8,0,0,0,0,0,0,0,80800,192600,6979
172,2.66,439000,42 HAGGERTY RD,Frankford Twp.,Sussex,Custom Home,2,1,3,8,0,1,1,1,0,0,0,71300,108100,4580
173,0.22,449900,12 WHITE BIRCH CT,Frankford Twp.,Sussex,Ranch,1,1,3,7,1,1,0,1,0,1,0,273000,83600,9104
174,7.56,459900,20 MAPLE LN,Frankford Twp.,Sussex,Colonial,4,0,4,11,1,1,0,0,1,0,0,85500,230100,8057
175,2.30,487500,333 MATTISON RESE,Frankford Twp.,Sussex,Contemporary,2,1,4,11,1,1,1,1,0,0,0,116700,263400,9703
176,12.70,489000,47 GUNN RD,Frankford Twp.,Sussex,Colonial,3,2,4,8,1,0,0,0,0,0,0,80000,341900,10771
177,9.36,545000,146 E SHORE CULVER,Frankford Twp.,Sussex,Custom Home,2,1,4,12,1,1,1,1,0,0,0,137000,249100,9857
178,6.50,549000,5 W OWASSA TNPK,Frankford Twp.,Sussex,Cape Cod,3,0,3,11,1,1,1,0,0,0,0,136800,220000,9109
179,0.46,549900,1 2nd St,Frankford Twp.,Sussex,Colonial,1,2,3,8,0,1,0,1,0,0,0,310100,89500,10201
180,6.55,599000,80 FOX HILL RD,Frankford Twp.,Sussex,Custom Home,5,0,4,13,1,1,0,1,1,0,0,123900,281100,10339
181,5.77,689900,18 High Ridge Lane,Frankford Twp.,Sussex,Colonial,3,1,5,13,1,0,1,0,0,0,0,125600,338900,11858
182,6.18,749900,15 HIGH RIDGE LN,Frankford Twp.,Sussex,Colonial,2,1,4,11,1,0,0,0,0,0,0,142100,179600,8213
183,2.51,750000,16 Bonning Rd,Frankford Twp.,Sussex,Colonial,5,1,5,11,1,0,1,1,0,0,0,170100,526800,17791
184,3.85,825000,158 E SHORE CULVER,Frankford Twp.,Sussex,Colonial,2,1,4,12,1,1,1,1,0,0,0,156000,375100,13558
185,1.22,847500,65 GUNN ROAD,Frankford Twp.,Sussex,Custom Home,3,1,3,10,1,1,0,0,0,0,0,275000,168700,11287
186,0.26,865000,94 LOWER NORTH SH,Frankford Twp.,Sussex,Custom Home,2,0,4,11,1,1,1,0,0,0,0,231300,318200,14028
187,11.35,1200000,39 High Ridge Lane,Frankford Twp.,Sussex,Custom Home,4,2,5,18,1,1,1,1,0,0,0,155800,527200,17436
188,0.38,1375000,44 AUGUSTA HILL R,Frankford Twp.,Sussex,Custom Home,3,0,4,11,1,1,1,0,1,0,0,296000,163600,11733
189,4.54,1600000,106 HWY 206,Frankford Twp.,Sussex,Colonial,5,2,6,21,1,1,1,1,0,0,0,190400,646900,21376
190,18.00,5799000,1 LAKEVIEW POINT,Frankford Twp.,Sussex,Custom Home,5,0,4,12,1,1,1,1,0,0,0,91900,657900,18892
191,1.00,39000,10 Alpine Circle,Frankford Twp.,Sussex,Custom Home,2,0,4,10,1,1,0,1,0,0,0,72000,210400,7209
192,8.03,59900,8 Cedar Dr,Frankford Twp.,Sussex,Colonial,7,1,8,19,1,0,1,0,0,0,0,422800,115650,40319
193,41.56,65000,56 N CHURCH RD,Franklin Boro,Sussex,Trailer,2,0,3,5,0,1,0,1,0,1,0,0,0,0
194,0.00,69000,21 Skyview Dr.,Franklin Boro,Sussex,One Floor Unit,2,0,3,6,0,1,1,0,1,1,0,0,0,0
195,0.41,100000,22 WYKER RD,Franklin Boro,Sussex,Ranch,1,0,3,5,1,1,0,1,1,1,0,61900,86400,5533
196,0.00,129900,34 JOHN WILTON ST,Franklin Boro,Sussex,See Remarks,2,0,3,6,0,0,1,0,0,1,0,0,0,0
